time,cpu,net_in,net_out,ram percent,ram gb
2023-01-07 11:38:54,27.2,0.0,0.0,80.2,3.351760896
2023-01-07 11:39:00,6.2,0.011,0.001,79.8,3.333214208
2023-01-07 11:39:05,48.9,0.002,0.0,79.5,3.320967168
2023-01-07 11:39:11,30.2,0.0,0.001,78.8,3.293184
2023-01-07 11:39:16,15.2,0.001,0.0,78.2,3.265519616
2023-01-07 11:39:21,17.4,0.0,0.0,78.1,3.262214144
2023-01-07 11:39:26,79.3,0.006,0.001,78.0,3.259686912
2023-01-07 11:39:33,37.0,0.002,0.0,79.0,3.299688448
2023-01-07 11:39:39,54.5,0.0,0.0,79.1,3.302780928
2023-01-07 11:39:44,23.7,0.0,0.0,78.5,3.279028224
2023-01-07 11:39:50,15.0,0.001,0.0,78.7,3.28583168
2023-01-07 11:39:55,16.5,0.002,0.0,78.4,3.274862592
2023-01-07 11:40:00,18.0,0.003,0.001,78.3,3.272503296
2023-01-07 11:40:05,17.3,0.001,0.0,78.3,3.27010304
2023-01-07 11:40:10,15.8,0.0,0.0,78.3,3.268448256
2023-01-07 11:40:15,16.4,0.0,0.0,78.1,3.26412288
2023-01-07 11:40:20,13.7,0.0,0.0,78.1,3.260309504
2023-01-07 11:40:25,11.4,0.001,0.0,78.0,3.25859328
2023-01-07 11:40:30,15.0,0.001,0.001,78.0,3.258355712
2023-01-07 11:40:35,9.4,0.001,0.0,78.0,3.25697536
2023-01-07 11:40:41,62.0,0.0,0.0,78.1,3.262738432
2023-01-07 11:40:47,51.1,0.001,0.0,78.2,3.267670016
2023-01-07 11:40:53,33.6,0.009,0.001,78.5,3.278954496
2023-01-07 11:40:59,42.9,0.011,0.001,78.5,3.278667776
2023-01-07 11:41:04,13.1,0.002,0.0,78.3,3.270549504
2023-01-07 11:41:09,13.6,0.003,0.0,78.3,3.268726784
2023-01-07 11:41:14,12.2,0.0,0.0,78.2,3.265646592
2023-01-07 11:41:20,24.8,0.0,0.0,78.2,3.264868352
2023-01-07 11:41:25,79.4,0.0,0.0,78.9,3.29426944
2023-01-07 11:41:31,57.2,0.001,0.001,78.9,3.296616448
2023-01-07 11:41:37,42.5,0.0,0.0,78.7,3.285835776
2023-01-07 11:41:43,22.1,0.0,0.0,78.4,3.2736256
2023-01-07 11:41:48,22.9,0.0,0.0,78.6,3.281371136
2023-01-07 11:41:54,53.1,0.0,0.0,78.7,3.288109056
2023-01-07 11:41:59,38.3,0.001,0.0,78.7,3.285274624
2023-01-07 11:42:05,25.5,0.001,0.001,79.5,3.319742464
2023-01-07 11:42:11,30.6,0.0,0.0,78.6,3.2848896
2023-01-07 11:42:17,45.5,0.0,0.0,78.6,3.284353024
2023-01-07 11:42:22,40.7,0.001,0.0,78.7,3.28558592
2023-01-07 11:42:28,16.2,0.0,0.0,78.6,3.284639744
2023-01-07 11:42:33,24.8,0.0,0.004,78.6,3.283959808
2023-01-07 11:42:38,15.4,0.001,0.001,78.6,3.283890176
2023-01-07 11:42:45,59.2,0.001,0.002,78.7,3.285815296
2023-01-07 11:42:51,42.0,0.0,0.0,79.4,3.316822016
2023-01-07 11:42:56,25.4,0.0,0.0,78.5,3.276886016
2023-01-07 11:43:02,42.6,0.0,0.0,78.6,3.28097792
2023-01-07 11:43:08,66.4,0.0,0.001,78.6,3.28329216
2023-01-07 11:43:13,41.7,0.001,0.001,78.7,3.289071616
2023-01-07 11:43:19,38.5,0.001,0.0,79.5,3.319701504
2023-01-07 11:43:25,72.1,0.0,0.0,79.5,3.322363904
2023-01-07 11:43:31,17.6,0.003,0.0,79.8,3.331325952
2023-01-07 11:43:37,29.9,0.003,0.0,79.6,3.324346368
2023-01-07 11:43:42,16.9,0.0,0.0,79.0,3.299807232
2023-01-07 11:43:47,21.6,0.001,0.0,79.0,3.30012672
2023-01-07 11:43:52,19.8,0.0,0.0,79.0,3.300012032
2023-01-07 11:43:57,37.7,0.001,0.0,78.8,3.290083328
2023-01-07 11:44:03,58.7,0.001,0.0,79.3,3.31128832
2023-01-07 11:44:09,72.2,0.001,0.001,77.5,3.235811328
2023-01-07 11:44:14,20.5,0.0,0.0,77.6,3.2397312
2023-01-07 11:44:20,65.7,0.032,0.005,78.8,3.292168192
2023-01-07 11:44:26,30.1,0.0,0.0,79.1,3.303112704
2023-01-07 11:44:32,30.9,0.0,0.0,78.9,3.29701376
2023-01-07 11:44:37,34.5,0.0,0.0,78.1,3.263524864
2023-01-07 11:44:42,23.4,0.0,0.0,78.1,3.262885888
2023-01-07 11:44:48,14.3,0.008,0.0,78.1,3.264
2023-01-07 11:44:54,41.7,0.001,0.0,78.4,3.274006528
2023-01-07 11:44:59,14.5,0.001,0.0,78.3,3.268509696
2023-01-07 11:45:04,9.9,0.0,0.0,78.1,3.26219776
2023-01-07 11:45:09,16.2,0.0,0.0,78.1,3.263033344
2023-01-07 11:45:14,13.5,0.0,0.0,78.1,3.262230528
2023-01-07 11:45:19,8.4,0.001,0.0,78.1,3.261591552
2023-01-07 11:45:24,15.0,0.0,0.0,78.1,3.26129664
2023-01-07 11:45:29,10.7,0.001,0.0,78.1,3.261284352
2023-01-07 11:45:34,14.3,0.0,0.0,78.0,3.257741312
2023-01-07 11:45:39,11.9,0.0,0.0,78.0,3.257884672
2023-01-07 11:45:44,15.0,0.001,0.001,78.0,3.259215872
2023-01-07 11:45:49,17.2,0.0,0.0,78.0,3.259416576
2023-01-07 11:45:54,14.5,0.021,0.0,78.0,3.258179584
2023-01-07 11:46:00,49.2,0.005,0.0,78.0,3.256807424
2023-01-07 11:46:05,12.3,0.001,0.0,78.0,3.256639488
2023-01-07 11:46:10,64.0,0.001,0.0,80.6,3.368001536
2023-01-07 11:46:16,29.7,0.001,0.003,79.3,3.310686208
2023-01-07 11:46:21,12.8,0.0,0.001,78.9,3.296186368
2023-01-07 11:46:26,57.7,0.0,0.0,79.0,3.298983936
