time,cpu,net_in,net_out,ram percent,ram gb
2022-12-29 20:08:22.046193,24.6,0.012,0.006,72.2,3.017568256
2022-12-29 20:08:27.144819,67.9,0.001,0.001,73.3,3.061202944
2022-12-29 20:08:32.257888,63.9,0.0,0.0,72.1,3.011514368
2022-12-29 20:08:37.340422,30.9,0.002,0.001,72.3,3.017875456
2022-12-29 20:08:42.423271,35.0,0.0,0.0,72.2,3.01580288
2022-12-29 20:08:54.103512,21.3,0.0,0.0,71.8,2.998759424
2022-12-29 20:08:59.199692,65.2,0.001,0.001,72.6,3.033448448
2022-12-29 20:09:04.345942,75.0,0.001,0.001,73.6,3.07564544
2022-12-29 20:09:09.387504,18.5,0.001,0.0,72.3,3.019030528
2022-12-29 20:09:14.452067,64.1,0.016,0.001,72.8,3.040362496
2022-12-29 20:09:19.544054,67.4,0.001,0.0,73.6,3.075219456
2022-12-29 20:09:24.662968,33.1,0.001,0.001,72.6,3.031724032
2022-12-29 20:09:29.695941,35.5,0.001,0.001,72.7,3.037974528
2022-12-29 20:09:34.732185,87.6,0.0,0.0,73.6,3.075293184
2022-12-29 20:09:40.236227,37.5,0.006,0.003,73.5,3.071422464
2022-12-29 20:09:45.281266,45.5,0.0,0.0,73.8,3.083186176
2022-12-29 20:09:50.337123,96.9,0.0,0.0,74.7,3.119079424
2022-12-29 20:09:55.433116,44.1,0.0,0.0,74.4,3.108728832
2022-12-29 20:10:00.639743,21.8,0.0,0.001,74.5,3.109916672
2022-12-29 20:10:05.716140,60.4,0.0,0.0,75.3,3.145404416
2022-12-29 20:10:10.768630,9.3,0.0,0.0,73.6,3.072913408
2022-12-29 20:10:15.848049,21.5,0.0,0.0,70.9,2.960572416
2022-12-29 20:10:20.910082,55.0,0.0,0.0,71.9,3.00142592
2022-12-29 20:10:25.978457,17.9,0.0,0.0,70.8,2.956828672
2022-12-29 20:10:31.059617,13.5,0.0,0.0,70.8,2.956337152
2022-12-29 20:10:36.131911,55.7,0.005,0.001,71.6,2.992074752
2022-12-29 20:10:41.288623,19.2,0.001,0.001,70.9,2.959978496
2022-12-29 20:10:46.339281,15.3,0.0,0.0,70.8,2.957258752
2022-12-29 20:10:51.398324,62.4,0.0,0.0,71.3,2.978492416
